地区,新增,累计,治愈,死亡
美国,65537,31420331,23946703,568777
巴西,41218,12984956,11357521,331530
印度,32141,12589067,11682136,165132
法国,0,4822470,299624,96678
俄罗斯,8817,4589540,4211133,100717
英国,3423,4359388,13254,126836
意大利,21247,3668264,2988199,111030
土耳其,0,3487050,3105350,32263
西班牙,9571,3300965,3054725,75698
德国,13358,2895631,2581500,77557
波兰,22958,2448463,2009308,55005
哥伦比亚,9149,2446219,2317564,64094
阿根廷,10384,2393492,2140480,56199
墨西哥,1838,2250458,1788209,204147
伊朗,11680,1932074,1650569,63160
乌克兰,13738,1755888,1352139,34587
秘鲁,5616,1582367,1500582,52877
捷克,2162,1553820,1411748,27057
南非,777,1551964,1477363,52987
印度尼西亚,6731,1534255,1375877,41669
荷兰,6822,1302146,16648,16622
智利,7307,1026785,958400,23644
加拿大,4943,1003988,922524,23062
罗马尼亚,4151,974375,871950,24070
比利时,4889,900996,58225,23169
伊拉克,5368,873568,778535,14463
以色列,499,834247,822787,6243
葡萄牙,193,823335,780322,16879
瑞典,0,813191,4971,13498
菲律宾,11008,803398,646237,13435
巴基斯坦,5020,692231,615960,14821
匈牙利,6566,689853,418084,21928
孟加拉国,7087,637364,552482,9266
约旦,6032,632907,543761,7201
塞尔维亚,3304,617669,520690,5458
瑞士,0,605342,548375,10353
奥地利,2743,558755,512642,9449
摩洛哥,575,498197,484921,8850
日本,2470,485775,450624,9236
黎巴嫩,2188,479501,380472,6409
阿拉伯联合酋长国,2113,470136,454600,1510
沙特阿拉伯,673,392682,379816,6697
斯洛伐克,620,365242,255300,10025
巴拿马,223,356377,345493,6135
保加利亚,1919,352999,270433,13589
马来西亚,1349,350959,335162,1288
厄瓜多尔,1137,335681,290314,16956
白俄罗斯,1239,327304,318033,2285
格鲁吉亚,464,284061,275024,3822
克罗地亚,1376,280026,260536,6058
尼泊尔,176,277944,273240,3032
希腊,1955,275414,234045,8380
玻利维亚,520,274934,224998,12324
阿塞拜疆,2561,270735,241646,3677
突尼斯,1404,260044,219035,8965
哈萨克斯坦,2054,255028,225256,3110
多米尼加,159,254295,214177,3346
巴勒斯坦,2806,251288,222007,2706
爱尔兰,0,238148,23364,4718
科威特,1235,237192,221943,1353
摩尔多瓦,1951,235087,215091,5136
丹麦,600,233318,221590,2429
巴拉圭,1507,221207,181949,4399
斯洛文尼亚,721,220425,202239,4082
立陶宛,729,220212,201727,3615
哥斯达黎加,0,216764,192699,2957
埃塞俄比亚,1997,215189,161968,2963
埃及,710,204965,156219,12163
亚美尼亚,590,197113,176889,3614
危地马拉,203,195471,179988,6891
洪都拉斯,752,190631,73373,4644
卡塔尔,876,183424,165952,303
波黑,0,173478,131726,6763
委内瑞拉,1607,166123,150374,1662
尼日利亚,50,163195,151998,2058
阿曼,3139,163157,146677,1690
利比亚,1206,162294,149238,2737
巴林,1316,148817,138407,536
缅甸,18,142511,131815,3206
肯尼亚,911,138988,94183,2224
北马其顿,2127,134867,109297,3940
阿尔巴尼亚,341,126531,93842,2265
乌拉圭,2336,117757,89035,1101
阿尔及利亚,95,117622,81896,3105
爱沙尼亚,462,109781,87092,950
韩国,543,105752,96900,1748
拉脱维亚,238,104224,95561,1934
挪威,585,98676,80023,673
斯里兰卡,308,93436,90208,581
黑山,297,92519,85598,1305
加纳,108,90782,88585,748
吉尔吉斯斯坦,172,89153,85271,1507
赞比亚,0,88930,85068,1220
乌兹别克斯坦,188,83802,81763,631
古巴,1162,79544,74246,436
芬兰,302,79396,46000,846
莫桑比克,0,68119,57124,782
萨尔瓦多,0,64431,61640,2030
卢森堡,0,62360,57596,755
新加坡,10,60495,60202,30
喀麦隆,0,57337,51769,851
阿富汗,81,56720,51885,2508
塞浦路斯,404,47713,2057,261
纳米比亚,102,44790,42346,537
科特迪瓦,173,44749,42071,255
乌干达,0,40962,40452,335
博茨瓦纳,0,40878,36958,591
牙买加,214,40663,18149,615
塞内加尔,0,39024,37684,1063
津巴布韦,8,36923,34748,1525
马拉维,8,33661,30686,1123
苏丹,0,30111,24214,2063
澳大利亚,3,29357,26307,909
泰国,96,29321,27840,95
马耳他,34,29223,28276,398
刚果（金）,33,28325,25587,745
马达加斯加,310,25572,22559,454
马尔代夫,103,24783,21646,67
安哥拉,112,22631,20879,542
卢旺达,76,22482,20519,311
几内亚,86,20405,17458,130
加蓬,0,19863,16910,119
马约特,0,19408,2964,162
叙利亚,120,19404,13205,1313
法属波利尼西亚,0,18633,4842,141
毛里塔尼亚,13,17927,17185,449
佛得角,104,17871,16480,173
斯威士兰,2,17352,16616,668
法属圭亚那,0,17132,9995,93
留尼汪岛,0,16586,14828,115
塔吉克斯坦,0,13308,13218,90
布基纳法索,12,12817,12467,150
海地,0,12788,11126,251
伯利兹,0,12456,12090,317
安道尔,0,12231,11474,117
索马里,124,11783,4967,557
瓜德罗普,0,11681,2242,170
多哥,216,11187,8288,112
蒙古国,620,10820,5931,12
莱索托,0,10707,4471,315
马里,147,10580,6959,392
圭亚那合作共和国,94,10580,9250,243
南苏丹,12,10267,9835,113
库拉索,464,9890,5488,48
刚果（布）,0,9681,8208,135
阿鲁巴,47,9638,8984,90
巴哈马,0,9171,8676,188
苏里南,23,9163,8620,177
吉布提,78,8509,6706,72
马提尼克,0,8304,98,51
特立尼达和多巴哥,20,8178,7648,145
贝宁,0,7313,6452,93
巴布亚新几内亚,419,7038,846,61
赤道几内亚,0,7008,6635,103
尼加拉瓜,0,6677,4225,178
冰岛,0,6225,6072,29
冈比亚,46,5505,5086,166
中非共和国,0,5245,4957,72
尼日尔,7,5041,4698,188
也门,77,4798,1738,946
圣马力诺,0,4775,4170,84
乍得,16,4595,4199,165
塞舌尔,31,4290,3869,24
直布罗陀,0,4275,4170,94
圣卢西亚,0,4273,4142,61
海峡群岛,0,4050,3956,86
塞拉利昂,0,3988,2824,79
科摩罗,0,3719,3538,146
巴巴多斯,3,3668,3526,43
几内亚比绍,0,3662,3012,66
厄立特里亚,0,3334,3058,10
布隆迪,69,2911,773,6
柬埔寨,44,2752,1747,21
列支敦士登,6,2685,2571,56
越南,5,2631,2383,35
新西兰,6,2507,2420,26
特克斯和凯科斯群岛,0,2344,2271,17
摩纳哥,6,2329,2175,29
圣多美和普林西比,4,2240,2131,35
圣马丁岛,0,2151,2083,27
利比里亚,0,2042,1899,85
圣文森特和格林纳丁斯,3,1764,1625,10
马恩岛,0,1571,1392,29
百慕大,108,1400,758,12
安提瓜和巴布达,0,1170,882,28
毛里求斯,8,1121,707,12
不丹,0,891,870,1
圣巴泰勒米岛,0,775,462,1
东帝汶,0,714,267,0
钻石公主号邮轮,0,712,699,13
法罗群岛,0,661,660,1
坦桑尼亚,0,509,183,21
开曼群岛,0,501,477,2
瓦利斯和富图纳群岛,0,420,44,4
文莱,0,214,197,3
英属维尔京群岛,0,166,131,1
多米尼克,0,165,159,0
格林纳达,0,155,152,1
新喀里多尼亚,0,121,58,0
斐济,0,67,64,2
马尔维纳斯群岛,0,54,54,0
老挝,0,49,46,0
圣基茨和尼维斯,0,44,44,0
格陵兰岛,0,31,31,0
梵蒂冈,0,27,15,0
安圭拉,0,25,22,0
圣皮埃尔,0,24,24,0
蒙特塞拉特,0,20,19,1
所罗门群岛,0,19,18,0
马绍尔群岛,0,4,4,0
萨摩亚独立国,0,3,2,0
瓦努阿图共和国,0,3,1,0
密克罗尼西亚,0,1,1,0
